Bot,IP
Neris,147.32.84.180
RBot,147.32.84.170
Menti,147.32.84.150
Sogou,147.32.84.140
Murlo,147.32.84.130
Virut,147.32.84.160
IRCbot and black hole1,10.0.2.15
Black hole 2,192.168.106.141
Black hole 3,192.168.106.131
TBot,172.16.253.130
TBot,172.16.253.131
TBot,172.16.253.129
TBot,172.16.253.240
Weasel Botmaster,74.78.117.238
Weasel Bot,158.65.110.24
Zeus,192.168.3.35
Zeus,192.168.3.25
Zeus,192.168.3.65
Zeus,172.29.0.116
Osx_trojan,172.29.0.109
Zero access,172.16.253.132
Zero access,192.168.248.165
Smoke bot,10.37.130.4
